mpiprocs threads n maxerror time
1 1 8 0.0447619 0.000260162
1 1 16 0.0109893 0.000621197
1 1 32 0.00273495 0.00212448
1 1 64 0.000682968 0.00988779
1 1 128 0.000170694 0.0428678
1 1 256 4.26705e-05 0.178791
1 1 512 1.06674e-05 0.780689
1 1 1024 2.66685e-06 3.38164
2 1 8 0.0447619 0.000121387
2 1 16 0.0109893 0.000322199
2 1 32 0.00273495 0.00119969
2 1 64 0.000682968 0.00519605
2 1 128 0.000170694 0.032165
2 1 256 4.26705e-05 0.0987876
2 1 512 1.06674e-05 0.443795
2 1 1024 2.66685e-06 1.84884
3 1 8 0.0447619 0.000141492
3 1 16 0.0109893 0.000638082
3 1 32 0.00273495 0.00167747
3 1 64 0.000682968 0.00548702
3 1 128 0.000170694 0.0240408
3 1 256 4.26705e-05 0.102848
3 1 512 1.06674e-05 0.446503
3 1 1024 2.66685e-06 1.9186
4 1 16 0.0109893 0.000301247
4 1 32 0.00273495 0.0010035
4 1 64 0.000682968 0.0041251
4 1 128 0.000170694 0.0187222
4 1 256 4.26705e-05 0.0829849
4 1 512 1.06674e-05 0.346594
4 1 1024 2.66685e-06 1.51758
